strain,sample,time,dose,gene_symbol,gene_expression
HW,WW25,19,100,Aldh3a1,12594.94753
HW,WW25,19,100,Bbs2,123.0331344
HW,WW25,19,100,Ccbl1,909.0781596
HW,WW25,19,100,Cxcr7,28.47989222
HW,WW25,19,100,Col18a1,1516.269462
HW,WW26,19,100,Ahrr,33.06824394
HW,WW26,19,100,Aldh3a1,15527.04363
HW,WW26,19,100,Bbs2,83.17164384
HW,WW26,19,100,Ccbl1,702.4496667
HW,WW26,19,100,Cxcr7,25.05169995
HW,WW26,19,100,Col18a1,827.7081665
HW,WW27,19,100,Ahrr,28.38203303
HW,WW27,19,100,Aldh3a1,14946.18132
HW,WW27,19,100,Bbs2,102.3780477
HW,WW27,19,100,Ccbl1,705.4962497
HW,WW27,19,100,Cxcr7,14.19101652
HW,WW27,19,100,Col18a1,1200.15454
HW,WW28,19,100,Ahrr,41.44335265
HW,WW28,19,100,Aldh3a1,17468.37314
HW,WW28,19,100,Bbs2,152.3652671
HW,WW28,19,100,Ccbl1,1168.946329
HW,WW28,19,100,Cxcr7,52.41365188
HW,WW28,19,100,Col18a1,1705.272069
HW,WW29,19,1000,Ahrr,31.51148315
HW,WW29,19,1000,Aldh3a1,8822.003303
HW,WW29,19,1000,Bbs2,111.5021712
HW,WW29,19,1000,Ccbl1,993.8236995
HW,WW29,19,1000,Cxcr7,39.995344
HW,WW29,19,1000,Col18a1,858.0819259
HW,WW30,19,1000,Ahrr,26.37351614
HW,WW30,19,1000,Aldh3a1,7505.347463
HW,WW30,19,1000,Bbs2,94.3894262
HW,WW30,19,1000,Ccbl1,920.2969055
HW,WW30,19,1000,Cxcr7,41.64239391
HW,WW30,19,1000,Col18a1,827.2955591
HW,WW31,19,1000,Ahrr,31.18620157
HW,WW31,19,1000,Aldh3a1,19761.6564
HW,WW31,19,1000,Bbs2,93.55860472
HW,WW31,19,1000,Ccbl1,1113.607281
HW,WW31,19,1000,Cxcr7,57.17470288
HW,WW31,19,1000,Col18a1,879.7107693
HW,WW32,19,1000,Ahrr,35.6104724
HW,WW32,19,1000,Aldh3a1,18780.74732
HW,WW32,19,1000,Bbs2,104.6732068
HW,WW32,19,1000,Ccbl1,878.3916526
HW,WW32,19,1000,Cxcr7,25.89852538
HW,WW32,19,1000,Col18a1,817.96176
HW,WW33,19,3000,Ahrr,41.73201907
HW,WW33,19,3000,Aldh3a1,10520.50739
HW,WW33,19,3000,Bbs2,107.6955331
HW,WW33,19,3000,Ccbl1,818.4860515
HW,WW33,19,3000,Cxcr7,28.27007744
HW,WW33,19,3000,Col18a1,860.2180706
HW,WW34,19,3000,Ahrr,533.7890001
HW,WW34,19,3000,Aldh3a1,23907.73268
HW,WW34,19,3000,Bbs2,216.522862
HW,WW34,19,3000,Ccbl1,2354.686124
HW,WW34,19,3000,Cxcr7,87.2105972
HW,WW34,19,3000,Col18a1,2515.57464
HW,WW35,19,3000,Ahrr,53.93293434
HW,WW35,19,3000,Aldh3a1,24715.11289
HW,WW35,19,3000,Bbs2,172.8619691
HW,WW35,19,3000,Ccbl1,1584.798532
HW,WW35,19,3000,Cxcr7,44.25266408
HW,WW35,19,3000,Col18a1,1103.55081
HW,WW36,19,3000,Ahrr,29.71306104
HW,WW36,19,3000,Aldh3a1,15346.79603
HW,WW36,19,3000,Bbs2,102.5100606
HW,WW36,19,3000,Ccbl1,1126.125013
HW,WW36,19,3000,Cxcr7,25.25610188
HW,WW36,19,3000,Col18a1,1044.414096
HW,HW4D12,96,0,Ahrr,7.744586436
HW,HW4D12,96,0,Aldh3a1,7.744586436
HW,HW4D12,96,0,Bbs2,80.54369893
HW,HW4D12,96,0,Ccbl1,573.0993962
HW,HW4D12,96,0,Cxcr7,55.76102234
HW,HW4D12,96,0,Col18a1,4845.013274
HW,HW4D16,96,0,Ahrr,4.024827899
HW,HW4D16,96,0,Aldh3a1,34.21103714
HW,HW4D16,96,0,Bbs2,29.18000226
HW,HW4D16,96,0,Ccbl1,290.7938157
HW,HW4D16,96,0,Cxcr7,25.15517437
HW,HW4D16,96,0,Col18a1,2672.485725
HW,HW4D2,96,0,Ahrr,4.512578808
HW,HW4D2,96,0,Aldh3a1,5.41509457
HW,HW4D2,96,0,Bbs2,31.58805166
HW,HW4D2,96,0,Ccbl1,241.8742241
HW,HW4D2,96,0,Cxcr7,18.95283099
HW,HW4D2,96,0,Col18a1,1590.232772
HW,HW4D20,96,0,Ahrr,4.182111663
HW,HW4D20,96,0,Aldh3a1,227.9250856
HW,HW4D20,96,0,Bbs2,46.0032283
HW,HW4D20,96,0,Ccbl1,300.0665118
HW,HW4D20,96,0,Cxcr7,33.45689331
HW,HW4D20,96,0,Col18a1,2904.47655
HW,HW4D6,96,0,Ahrr,11.54192426
HW,HW4D6,96,0,Aldh3a1,179.861653
HW,HW4D6,96,0,Bbs2,47.12952404
HW,HW4D6,96,0,Ccbl1,318.3647441
HW,HW4D6,96,0,Cxcr7,45.20587
HW,HW4D6,96,0,Col18a1,2806.611248
HW,HW4D15,96,100,Ahrr,22.87681741
HW,HW4D15,96,100,Aldh3a1,3350.30991
HW,HW4D15,96,100,Bbs2,37.74674873
