strain,sample,time,dose,GENE_SYMBOL,gene_expression
HW,WW2,19,0,Col18a1,2354.618046
HW,WW2,19,0,Cyb5a,16606.123920000002
HW,WW2,19,0,Cyp1a1,22.17270459
HW,WW2,19,0,Cyp1a2,34312.87626
HW,WW2,19,0,Cyp1b1,10.47044383
HW,WW3,19,0,Ahrr,2.845421363
HW,WW3,19,0,Aldh3a1,3.79389515
HW,WW3,19,0,Bbs2,48.37216317
HW,WW3,19,0,Ccbl1,294.0268741
HW,WW3,19,0,Cxcr7,18.02100196
HW,WW3,19,0,Col18a1,2219.428663
HW,WW3,19,0,Cyb5a,22362.16649
HW,WW3,19,0,Cyp1a1,165.9829128
HW,WW3,19,0,Cyp1a2,47524.2276
HW,WW3,19,0,Cyp1b1,7.587790301
HW,WW4,19,0,Ahrr,8.779915746
HW,WW4,19,0,Aldh3a1,7.023932597
HW,WW4,19,0,Bbs2,55.3134692
HW,WW4,19,0,Ccbl1,361.7325287
HW,WW4,19,0,Cxcr7,29.85171354
HW,WW4,19,0,Col18a1,2932.491859
HW,WW4,19,0,Cyb5a,26500.4197
HW,WW4,19,0,Cyp1a1,128.1867699
HW,WW4,19,0,Cyp1a2,54272.17119
HW,WW4,19,0,Cyp1b1,8.779915746
HW,WW49,19,0,Ahrr,8.632226856
HW,WW49,19,0,Aldh3a1,101.6684496
HW,WW49,19,0,Bbs2,60.42558799
HW,WW49,19,0,Ccbl1,352.0030285
HW,WW49,19,0,Cxcr7,33.56977111
HW,WW49,19,0,Col18a1,2753.680367
HW,WW49,19,0,Cyb5a,28797.10879
HW,WW49,19,0,Cyp1a1,1044.49945
HW,WW49,19,0,Cyp1a2,50937.81154
HW,WW49,19,0,Cyp1b1,12.46877213
HW,WW50,19,0,Ahrr,4.506592426
HW,WW50,19,0,Aldh3a1,4.506592426
HW,WW50,19,0,Bbs2,43.93927615
HW,WW50,19,0,Ccbl1,402.213374
HW,WW50,19,0,Cxcr7,47.31922047
HW,WW50,19,0,Col18a1,3668.366235
HW,WW50,19,0,Cyb5a,21279.00279
HW,WW50,19,0,Cyp1a1,123.9312917
HW,WW50,19,0,Cyp1a2,51557.67065
HW,WW50,19,0,Cyp1b1,5.633240532
HW,WW51,19,0,Ahrr,8.813061455
HW,WW51,19,0,Aldh3a1,2.711711217
HW,WW51,19,0,Bbs2,42.03152386
HW,WW51,19,0,Ccbl1,460.9909069
HW,WW51,19,0,Cxcr7,15.5923395
HW,WW51,19,0,Col18a1,3052.708902
HW,WW51,19,0,Cyb5a,20959.49392
HW,WW51,19,0,Cyp1a1,143.0427667
HW,WW51,19,0,Cyp1a2,50988.30601
HW,WW51,19,0,Cyp1b1,2.711711217
HW,WW5,19,0.001,Ahrr,21.72089894
HW,WW5,19,0.001,Aldh3a1,59.44667078
HW,WW5,19,0.001,Bbs2,58.30346558
HW,WW5,19,0.001,Ccbl1,313.2382268
HW,WW5,19,0.001,Cxcr7,28.58013018
HW,WW5,19,0.001,Col18a1,1339.836503
HW,WW5,19,0.001,Cyb5a,28560.6957
HW,WW5,19,0.001,Cyp1a1,345.2479726
HW,WW5,19,0.001,Cyp1a2,63051.1968
HW,WW5,19,0.001,Cyp1b1,41.15538747
HW,WW6,19,0.001,Ahrr,5.212333427
HW,WW6,19,0.001,Aldh3a1,96.4281684
HW,WW6,19,0.001,Bbs2,54.72950099
HW,WW6,19,0.001,Ccbl1,303.6184221
HW,WW6,19,0.001,Cxcr7,39.0925007
HW,WW6,19,0.001,Col18a1,1261.384689
HW,WW6,19,0.001,Cyb5a,24163.07469
HW,WW6,19,0.001,Cyp1a1,465.2007584
HW,WW6,19,0.001,Cyp1a2,55682.05492
HW,WW6,19,0.001,Cyp1b1,72.97266798
HW,WW7,19,0.001,Ahrr,11.54108486
HW,WW7,19,0.001,Aldh3a1,4.616433944
HW,WW7,19,0.001,Bbs2,27.69860367
HW,WW7,19,0.001,Ccbl1,226.2052633
HW,WW7,19,0.001,Cxcr7,12.69519335
HW,WW7,19,0.001,Col18a1,622.064474
HW,WW7,19,0.001,Cyb5a,23776.94303
HW,WW7,19,0.001,Cyp1a1,100.4074383
HW,WW7,19,0.001,Cyp1a2,47529.64978
HW,WW7,19,0.001,Cyp1b1,23.08216972
HW,WW8,19,0.001,Ahrr,5.313456645
HW,WW8,19,0.001,Aldh3a1,10.62691329
HW,WW8,19,0.001,Bbs2,38.25688784
HW,WW8,19,0.001,Ccbl1,250.7951536
HW,WW8,19,0.001,Cxcr7,12.75229595
HW,WW8,19,0.001,Col18a1,765.1377569
HW,WW8,19,0.001,Cyb5a,14990.32389
HW,WW8,19,0.001,Cyp1a1,98.83029359
HW,WW8,19,0.001,Cyp1a2,24096.52588
HW,WW8,19,0.001,Cyp1b1,26.56728322
HW,WW10,19,0.01,Ahrr,11.81600851
HW,WW10,19,0.01,Aldh3a1,20.67801489
HW,WW10,19,0.01,Bbs2,35.44802553
HW,WW10,19,0.01,Ccbl1,265.8601915
HW,WW10,19,0.01,Cxcr7,36.92502659
HW,WW10,19,0.01,Col18a1,1264.312911
HW,WW10,19,0.01,Cyb5a,29788.15745
